,productos,lagallega,lareinaonline,carrefour,unicosupermercados,arcoirisencasa,hiperlibertad,cotodigital3,jumbo
0,Cerveza Corona X 710 Ml.,"427,00","451,00","245,70","350,00","420,00","427,99","427,00","445,00"
1,"Gaseosa Coca-cola Sabor Original 2,5 Lt","326,97","349,00","273,50","370,60","375,00","326,99","430,99","431,00"
